722 734
639 212 42
381 61 63
469 122 60
411 311 13
405 28 90
722 609 7
528 353 99
242 637 4
467 479 25
588 270 92
205 319 68
1 643 25
169 627 94
370 176 53
328 270 60
193 450 84
253 379 73
126 638 52
412 238 38
84 49 39
527 624 3
244 43 57
402 183 88
366 384 50
313 603 94
637 170 11
570 410 88
634 446 76
152 252 76
419 199 56
111 367 62
698 447 65
688 91 25
642 422 92
495 387 28
492 272 98
338 357 15
146 668 48
391 40 49
428 628 8
152 241 53
379 678 23
174 334 75
422 611 6
139 489 82
571 487 70
669 222 57
277 166 48
330 164 27
652 672 5
34 280 56
72 676 6
654 140 66
89 663 21
323 117 31
619 631 7
444 369 80
302 193 13
239 476 69
508 223 88
443 24 34
331 433 67
58 309 52
206 504 94
547 379 6
473 457 87
573 664 51
367 684 82
418 667 14
617 294 88
223 336 49
289 328 70
709 476 14
550 22 79
705 320 12
103 192 73
244 543 57
120 444 2
631 595 24
575 524 40
671 160 20
639 233 91
309 318 26
73 546 55
420 472 21
364 615 15
247 477 40
381 326 71
357 618 92
158 436 43
533 210 73
63 495 6
387 676 9
474 550 92
381 146 55
74 368 47
109 43 8
287 605 91
560 81 28
357 584 66
581 650 79
531 682 52
706 222 90
663 135 83
119 468 79
630 643 64
131 140 97
642 636 48
242 520 50
297 118 12
328 452 22
356 628 92
513 348 36
604 43 70
154 354 26
572 711 33
39 663 80
356 385 11
387 329 50
353 589 71
424 163 46
336 629 17
115 86 76
501 446 74
209 60 20
58 672 81
721 214 24
350 601 66
716 235 76
273 559 46
75 235 91
258 318 5
339 209 23
314 587 6
175 127 89
295 185 20
161 32 13
538 481 68
621 247 84
157 217 46
146 522 77
110 388 3
511 563 69
510 113 74
345 384 75
99 508 43
427 406 52
320 349 87
616 193 28
31 384 51
341 108 79
421 478 80
479 529 42
459 626 33
463 83 72
584 385 79
251 186 42
533 268 65
245 661 84
34 22 93
708 593 9
692 361 60
482 442 23
248 308 55
584 107 78
60 508 93
413 716 79
59 4 6
676 586 92
239 247 17
243 449 31
671 393 80
455 506 88
5 145 95
238 402 9
655 256 64
310 188 3
223 621 41
494 384 75
467 478 62
560 410 72
351 499 43
430 243 64
570 387 27
334 264 21
683 678 97
308 89 43
471 492 71
676 28 13
279 482 8
283 57 17
708 555 76
529 290 65
35 107 59
716 420 71
553 603 18
292 696 27
577 307 69
329 414 66
531 93 81
415 216 90
361 125 10
579 369 83
611 601 16
152 272 77
407 359 64
610 333 56
161 89 57
221 73 25
362 3 93
93 550 13
80 260 96
556 360 37
691 355 51
230 709 23
275 226 40
247 361 19
509 615 46
237 630 2
530 436 95
603 247 90
544 669 67
702 279 11
74 692 80
182 523 37
67 418 90
461 378 62
566 18 25
333 667 20
202 710 61
434 344 70
581 601 91
297 193 77
412 180 35
85 22 97
581 519 35
574 610 51
564 530 93
479 561 53
44 633 4
142 109 32
29 654 19
238 249 56
422 678 90
2 390 23
338 181 44
414 250 13
325 219 75
121 28 72
290 548 25
693 182 19
371 467 22
470 515 39
694 91 30
629 13 93
290 464 10
52 596 64
98 553 77
201 169 46
530 162 48
66 261 42
399 445 92
547 449 17
678 247 72
505 452 100
721 33 20
676 518 53
81 471 41
699 554 67
661 672 68
539 339 29
191 233 11
249 716 88
294 29 92
669 666 89
619 590 84
478 612 98
33 699 99
90 398 36
363 47 71
411 90 36
88 507 56
20 410 32
467 543 80
487 297 66
249 521 93
195 444 62
362 21 31
534 417 13
341 529 55
14 169 78
285 257 2
360 502 6
143 585 74
355 292 12
224 615 44
563 610
